"",,,,OLD,,
REGION,POSTCODE,WARD,POSTCODE,POSTCODE,MTAA/VILLAGE,KITONGOJI
ILALA CBD,11,KIVUKONI,11101,,Kivukoni,
"",,,,,Sea View,
"",,UPANGA MASHARIKI,11102,,Kitonga,
"",,,,,Kibasila,
"",,UPANGA MAGHARIBI,11103,,Fire,
"",,,,,Charambe,
"",,,,,Mfaume,
"",,KISUTU,11104,,Kisutu,
"",,,,,Mtendeni,
"",,MCHAFUKOGE,11105,,Kitumbini,
"",,,,,Mchafukoge,
"",,KARIAKOO,11106,,Kariakoo Magharibi,
"",,,,,Kariakoo Kaskazini,
"",,,,,Kariakoo Mashariki,
"",,GEREZANI,11107,,Gerezani Mashariki,
"",,,,,Gerezani Magharibi,
"",,JANGWANI,11108,,Ukombozi,
"",,,,,Mnazi Mmoja,
"",,,,,"Mtambani ""A""",
"",,,,,"Mtambani ""B""",
"",,MCHIKICHINI,11109,,Mission Quarter,
"",,,,,Ilala Kota,
"",,,,,Msimbazi Bondeni,
ILALA,12,ILALA,12101,,Mafuriko,
"",,,,,Kasulu,
"",,,,,Karume,
"",,,,,Shariff Shamba,
"",,,,,Amana,
"",,BUGURUNI,12102,,Malapa,
"",,,,,Madenge,
"",,,,,Kisiwani,
"",,,,,Mvinjeni,
TABATA,12103,Mandela
"",,Tabata
"",,Matumbi
"",,Msimbazi
"",,Kisiwani
"",,Tenge
"",,Mtambani
"",,Msimbazi Magharibi
KIMANGA,12104,Tembomgwaza
"",,Kimanga
"",,Kimanga Darajani
"",,Banebane
"",,Kihimbwa
"",,Sokoine
"",,Twiga
SEGEREA,12105,Mgombani
"",,Ugombolwa
"",,Segerea
"",,Mfaume
KIPAWA,12106,Mogo
"",,Karakata
"",,Kipunguni
"",,Stakishari
"",,Uwanja wa Ndege
"",,Mjimpya
UKONGA,12107,Mwembe Madafu
"",,Mazizini
"",,Markaz
"",,Mongo la Ndege
"",,Sabasaba
KIWALANI,12108,Kigilagila
"",,Yombo
"",,Kiwalani
VINGUNGUTI,12109,Kombo
"",,Miembeni
"",,Mtakuja
"",,Mtambani
"",,Butiama
"",,Majengo
GONGO LA MBOTO,12110,Guluka Kwalala
"",,Gongo la Mboto
"",,Ulongoni A
"",,Ulongoni B
KITUNDA,12111,Kipera
"",,Kitunda
"",,Relini
"",,Kiyombo
PUGU,12112,Kinyamwezi
"",,Bombani
"",,Kigogo Fresh 'A'
"",,Kigogo Fresh 'B'
"",,Mustapha
MAJOHE,12113,Mji Mpya
"",,Kichangani
"",,Kivule
"",,Rada
"",,Viwege
MSONGOLA,12114,Kitonga
"",,Yangeyange
"",,Mbondole
"",,Mvuleni
"",,Kiboga
"",,Kidole
"",,Mkera
"",,Sangara
"",,Uwanja wa Nyani
CHANIKA,12115,Tungini
"",,Yongwe
"",,Lukomi
"",,Vikongoro
"",,Nguvu Mpya
"",,Virobo
"",,Kidugalo
"",,Ngwale
"",,Lukooni
KINYEREZI,12116,Kinyerezi
"",,Kifuru
"",,Kwalimbaga
"",,Kanga
"",,Kichangani
"",,Kibaga
KIVULE,12117,Kivule
"",,Bombambili
"",,Karezange
"",,Magore A
Mnyamani,12118,Maluzuku
"",,Mji Mpya
"",,Faru
"",,Mnyamani
Liwiti,12119,Machimbo
"",,Liwiti
"",,Misewe
"",,Amani
Bonyokwa,12120,Bonyokwa
"",,Kisiwani
"",,Msingwa
Kipunguni,12121,Kipunguni B
"",,Kitinye
"",,Machimbo
"",,Amani
Kisukulu,12122,Luhanga
"",,Kisukulu
"",,,,Mianzini
"",,Minazi Mirefu,12123,Mwale
"",,,,Migombani
"",,,,Minazi Mirefu
"",,Buyuni,12124,Zavala
"",,,,Mgeule
"",,,,Nyeburu
"",,,,Kigezi
"",,,,Kigezi Chini
"",,,,Mgeule juu
"",,,,Taliani
"",,Zingiziwa,12125,Nzasa
"",,,,Zogoali
